,true_label,sentence,distibert_prediction
353,POSITIVE,Wow everyone at the Google I/O conference got free G2's with a month of unlimited service,POSITIVE
354,POSITIVE,@vkerkez dood I got a free google android phone at the I/O conference. The G2!,NEGATIVE
355,POSITIVE,"@Orli the G2 is amazing btw, a HUGE improvement over the G1",POSITIVE
356,POSITIVE,"HTML 5 Demos! Lots of great stuff to come! Yes, I'm excited. :) http://htmlfive.appspot.com #io2009 #googleio",POSITIVE
357,POSITIVE,@googleio http://twitpic.com/62shi - Yay! Happy place! Place place!  I love Google!,POSITIVE
358,POSITIVE,#GoogleIO | O3D - Bringing 3d graphics to the browser. Very nice tbh. Funfun.,POSITIVE
359,POSITIVE,"Awesome viral marketing for ""Funny People"" http://www.nbc.com/yo-teach/",POSITIVE
361,NEGATIVE,saw night at the museum out of sheer desperation. who is funding these movies?,NEGATIVE
362,POSITIVE,Night At The Museum 2? Pretty furkin good.,POSITIVE
363,POSITIVE,Watching Night at the Museum - giggling.,POSITIVE
367,NEGATIVE,"Back from seeing 'Star Trek' and 'Night at the Museum.' 'Star Trek' was amazing, but 'Night at the Museum' was; eh.",NEGATIVE
368,POSITIVE,just watched night at the museum 2! so stinkin cute!,NEGATIVE
369,POSITIVE,"So, Night at the Museum 2 was AWESOME! Much better than part 1. Next weekend we'll see Up.",POSITIVE
372,POSITIVE,saw the new Night at the Museum and i loved it. Next is to go see UP in 3D,POSITIVE
373,NEGATIVE,It is a shame about GM. What if they are forced to make only cars the White House THINKS will sell? What do you think?,NEGATIVE
374,NEGATIVE,"As u may have noticed, not too happy about the GM situation, nor AIG, Lehman, et al",NEGATIVE
376,NEGATIVE,@Pittstock $GM good riddance.  sad though.,NEGATIVE
377,NEGATIVE,"I Will NEVER Buy a Government Motors Vehicle: Until just recently, I drove GM cars. Since 1988, when I bought a .. http://tinyurl.com/lulsw8",NEGATIVE
378,NEGATIVE,Having the old Coca-Cola guy on the GM board is stupid has heck! #tcot #ala,NEGATIVE
379,NEGATIVE,#RantsAndRaves The worst thing about GM (concord / pleasant hill / martinez): is the fucking UAW. ..   http://buzzup.com/4ueb,NEGATIVE
380,NEGATIVE,"Give a man a fish, u feed him for the day. Teach him to fish, u feed him for life. Buy him GM, and u F**K him over for good.",NEGATIVE
381,NEGATIVE,"The more I hear about this GM thing the more angry I get. Billions wasted, more bullshit. All for something like 40k employees and all the..",NEGATIVE
382,NEGATIVE,@QuantTrader i own a GM car and it is junk as far as quality compared to a honda,NEGATIVE
383,NEGATIVE,sad day...bankrupt GM,NEGATIVE
384,NEGATIVE,is upset about the whole GM thing. life as i know it is so screwed up,NEGATIVE
385,NEGATIVE,whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs,NEGATIVE
387,NEGATIVE,#WFTB Joining a bit late. My connection was down (boo time warner),NEGATIVE
388,NEGATIVE,Cox or Time Warner?  Cox is cheaper and gets a B on dslreports.  TW is more expensive and gets a C.,NEGATIVE
389,NEGATIVE,i am furious with time warner and their phone promotions!,NEGATIVE
390,NEGATIVE,Just got home from chick-fil-a with the boys. Damn my internets down =( stupid time warner,NEGATIVE
391,NEGATIVE,could time-warner cable suck more?  NO.,NEGATIVE
392,NEGATIVE,Pissed at Time Warner for causin me to have slow internet problems,NEGATIVE
393,NEGATIVE,"@sportsguy33 Ummm, having some Time Warner problems?",NEGATIVE
394,NEGATIVE,You guys see this?  Why does Time Warner have to suck so much ass?  Really wish I could get U-Verse at my apartment. http://bit.ly/s594j,NEGATIVE
395,NEGATIVE,"RT @sportsguy33 The upside to Time Warner: unhelpful phone operators   superslow on-site service. Crap, that's not an upside.",NEGATIVE
396,NEGATIVE,"RT @sportsguy33: New Time Warner slogan: ""Time Warner, where we make you long for the days before cable.""",NEGATIVE
397,NEGATIVE,"confirmed: it's Time Warner's fault, not Facebook's, that fb is taking about 3 minutes to load. so tempted to switch to verizon =/",NEGATIVE
398,NEGATIVE,@sportsguy33 Time Warner = epic fail,NEGATIVE
402,NEGATIVE,I know. How sad is that?  RT @caseymercier: 1st day of hurricane season. That's less scarey than govt taking over GM.,NEGATIVE
403,NEGATIVE,"GM files Bankruptcy, not a good sign...",NEGATIVE
404,POSITIVE,yankees won mets lost. its a good day.,POSITIVE
405,POSITIVE,My dentist appt today was actually quite enjoyable.,POSITIVE
406,NEGATIVE,I hate the effing dentist.,NEGATIVE
408,NEGATIVE,@kirstiealley I hate going to the dentist.. !!!,NEGATIVE
409,NEGATIVE,i hate the dentist....who invented them anyways?,NEGATIVE
410,NEGATIVE,this dentist's office is cold :/,NEGATIVE
419,POSITIVE,Just applied at Safeway!(: Yeeeee!,NEGATIVE
420,NEGATIVE,@ Safeway. Place is a nightmare right now. Bumming.,NEGATIVE
422,NEGATIVE,"HATE safeway select green tea icecream! bought two cartons, what a waste of money.  &gt;_&lt;",NEGATIVE
435,POSITIVE,Nike rocks. I'm super grateful for what I've done with them :) &amp; the European Division of NIKE is BEYOND! @whitSTYLES @muchasmuertes,POSITIVE
437,POSITIVE,@evelynbyrne have you tried Nike  ? V. addictive.,NEGATIVE
439,POSITIVE,The Nike Training Club (beta) iPhone app looks very interesting.,POSITIVE
440,NEGATIVE,argghhhh why won't  my jquery appear in safari bad safari !!!,NEGATIVE
443,POSITIVE,"I'm ready to drop the pretenses, I am forever in love with jQuery, and I want to marry it. Sorry ladies, this nerd is jquery.spokenFor.js",POSITIVE
449,POSITIVE,"SUPER INVESTORS: A great weekend read here from Warren Buffet. Oldie, but a goodie. http://tinyurl.com/oqxgga",POSITIVE
451,POSITIVE,"reading Michael Palin book, The Python Years...great book. I also recommend Warren Buffet &amp; Nelson Mandela's bio",POSITIVE
452,POSITIVE,"I mean, I'm down with Notre Dame if I have to.  It's a good school, I'd be closer to Dan, I'd enjoy it.",POSITIVE
453,NEGATIVE,"I can't watch TV without a Tivo.  And after all these years, the Time/Warner DVR  STILL sucks. http://www.davehitt.com/march03/twdvr.html",NEGATIVE
454,POSITIVE,I'd say some sports writers are idiots for saying Roger Federer is one of the best ever in Tennis.  Roger Federer is THE best ever in Tennis,POSITIVE
455,NEGATIVE,I still love my Kindle2 but reading The New York Times on it does not feel natural. I miss the Bloomingdale ads.,NEGATIVE
456,POSITIVE,I love my Kindle2. No more stacks of books to trip over on the way to the loo.,POSITIVE
457,NEGATIVE,"Although today's keynote rocked, for every great announcement, AT&amp;T shit on us just a little bit more.",NEGATIVE
458,NEGATIVE,"@sheridanmarfil - its not so much my obsession with cell phones, but the iphone!  i'm a slave to at&amp;t forever because of it. :)",NEGATIVE
461,NEGATIVE,Fuzzball is more fun than AT&amp;T ;P http://fuzz-ball.com/twitter,POSITIVE
462,NEGATIVE,"Today is a good day to dislike AT&amp;T. Vote out of office indeed, @danielpunkass",POSITIVE
463,POSITIVE,GOT MY WAVE SANDBOX INVITE! Extra excited! Too bad I have class now... but I'll play with it soon enough! #io2009 #wave,POSITIVE
464,NEGATIVE,looks like summize has gone down. too many tweets from WWDC perhaps?,NEGATIVE
467,POSITIVE,"@sklososky Thanks so much!!! ...from one of your *very* happy Kindle2 winners ; ) I was so surprised, fabulous. Thank you! Best, Kathleen",POSITIVE
468,NEGATIVE,Man I kinda dislike Apple right now. Case in point: the iPhone 3GS. Wish there was a video recorder app. Please?? http://bit.ly/DZm1T,NEGATIVE
469,POSITIVE,@cwong08 I have a Kindle2 (&amp; Sony PRS-500). Like it! Physical device feels good. Font is nice. Pg turns are snappy enuf. UI a little klunky.,POSITIVE
470,POSITIVE,"The #Kindle2 seems the best eReader, but will it work in the UK and where can I get one?",NEGATIVE
471,POSITIVE,"I have a google addiction. Thank you for pointing that out, @annamartin123. Hahaha.",POSITIVE
474,NEGATIVE,"dearest @google, you rich bastards! the VISA card you sent me doesn't work. why screw a little guy like me?",NEGATIVE
476,POSITIVE,Excited about seeing Bobby Flay and Guy Fieri tomorrow at the Great American Food &amp; Music Fest!,POSITIVE
477,POSITIVE,Gonna go see Bobby Flay 2moro at Shoreline. Eat and drink. Gonna be good.,POSITIVE
478,POSITIVE,can't wait for the great american food and music festival at shoreline tomorrow.  mmm...katz pastrami and bobby flay. yes please.,POSITIVE
479,POSITIVE,"My dad was in NY for a day, we ate at MESA grill last night and met Bobby Flay. So much fun, except I completely lost my voice today.",NEGATIVE
480,NEGATIVE,Fighting with LaTex. Again...,NEGATIVE
481,NEGATIVE,@Iheartseverus we love you too and don't want you to die!!!!!!  Latex = the devil,POSITIVE
482,NEGATIVE,"7 hours. 7 hours of inkscape crashing, normally solid as a rock. 7 hours of LaTeX complaining at the slightest thing. I can't take any more.",NEGATIVE
484,NEGATIVE,Shit's hitting the fan in Iran...craziness indeed #iranelection,NEGATIVE
485,NEGATIVE,Monday already. Iran may implode. Kitchen is a disaster. @annagoss seems happy. @sebulous had a nice weekend and @goldpanda is great. whoop.,POSITIVE
487,POSITIVE,getting ready to test out some burger receipes this weekend. Bobby Flay has some great receipes to try. Thanks Bobby.,POSITIVE
489,POSITIVE,i lam so in love with Bobby Flay... he is my favorite. RT @terrysimpson: @bflay you need a place in Phoenix. We have great peppers here!,POSITIVE
490,NEGATIVE,"I just created my first LaTeX file from scratch. That didn't work out very well. (See @amandabittner , it's a great time waster)",NEGATIVE
491,POSITIVE,using Linux and loving it - so much nicer than windows... Looking forward to using the wysiwyg latex editor!,POSITIVE
492,POSITIVE,"After using LaTeX a lot, any other typeset mathematics just looks hideous.",NEGATIVE
494,NEGATIVE,"On that note, I hate Word. I hate Pages. I hate LaTeX. There, I said it. I hate LaTeX. All you TEXN3RDS can come kill me now.",NEGATIVE
495,POSITIVE,Ahhh... back in a *real* text editing environment. I &lt;3 LaTeX.,NEGATIVE
496,NEGATIVE,"Trouble in Iran, I see. Hmm. Iran. Iran so far away. #flockofseagullsweregeopoliticallycorrect",NEGATIVE
497,NEGATIVE,Reading the tweets coming out of Iran... The whole thing is terrifying and incredibly sad...,NEGATIVE
